"line","mateA","mateB","genotype","RDH","n_bott","control","ploidy","petite"
"126x126","126",126,"homozygote","wt",87,FALSE,"diploid",FALSE
"104x104","104",104,"homozygote","wt",100,FALSE,"diploid",TRUE
"4","4",NA,"haploid","del",100,FALSE,"haploid",FALSE
"44x67","44",67,"heterozygote","wt",0,TRUE,"diploid",TRUE
"89x135","89",135,"heterozygote","del",100,FALSE,"diploid",TRUE
"8x93","8",93,"heterozygote","wt",100,FALSE,"diploid",TRUE
"37x37","37",37,"homozygote","del",100,FALSE,"diploid",FALSE
"96","96",NA,"haploid","del",0,TRUE,"haploid",TRUE
"89","89",NA,"haploid","del",100,FALSE,"haploid",TRUE
"61x61","61",61,"homozygote","del",100,FALSE,"diploid",TRUE
"125x125","125",125,"homozygote","wt",87,FALSE,"diploid",TRUE
"10","10",NA,"haploid","del",100,FALSE,"haploid",TRUE
"62x62","62",62,"homozygote","wt",100,FALSE,"diploid",TRUE
"126","126",NA,"haploid","wt",87,FALSE,"haploid",TRUE
"98x20","98",20,"heterozygote","wt",100,FALSE,"diploid",TRUE
"112x112","112",112,"homozygote","wt",87,FALSE,"diploid",TRUE
"79x96","79",96,"heterozygote","del",100,FALSE,"diploid",FALSE
"53x96","53",96,"heterozygote","del",100,FALSE,"diploid",FALSE
"35x46","35",46,"heterozygote","del",100,FALSE,"diploid",TRUE
"102x67","102",67,"heterozygote","wt",100,FALSE,"diploid",TRUE
"38x46","38",46,"heterozygote","del",100,FALSE,"diploid",TRUE
"35x35","35",35,"homozygote","del",100,FALSE,"diploid",TRUE
"83x46","83",46,"heterozygote","del",100,FALSE,"diploid",TRUE
"112x93","112",93,"heterozygote","wt",87,FALSE,"diploid",TRUE
"17","17",NA,"haploid","del",100,FALSE,"haploid",FALSE
"16x46","16",46,"heterozygote","del",100,FALSE,"diploid",TRUE
"109x109","109",109,"homozygote","wt",87,FALSE,"diploid",TRUE
"29","29",NA,"haploid","del",100,FALSE,"haploid",TRUE
"89x89","89",89,"homozygote","del",100,FALSE,"diploid",FALSE
"27x27","27",27,"homozygote","wt",100,FALSE,"diploid",TRUE
"76","76",NA,"haploid","del",100,FALSE,"haploid",TRUE
"95x95","95",95,"homozygote","del",0,TRUE,"diploid",FALSE
"93","93",NA,"haploid","wt",0,TRUE,"haploid",TRUE
"23x20","23",20,"heterozygote","wt",0,TRUE,"diploid",TRUE
"102x102","102",102,"homozygote","wt",100,FALSE,"diploid",TRUE
"101x20","101",20,"heterozygote","wt",100,FALSE,"diploid",TRUE
