"day","machine","Well.ID","line","pipettor","note","file","mateA","mateB","genotype","RDH","n_bott","growth","Init_OD","OD_at_maxslope","time_at_maxslope","control","ploidy","plate","row","col"
1,2,"62","54x96","linnea","","day1.csv","54","96","heterozygote","del",100,0.243066306246376,0.263666666666667,0.768,14,FALSE,"diploid","1",2,6
1,2,"63","88x88","linnea","","day1.csv","88","88","homozygote","wt",100,0.25978180973607,0.259666666666667,0.831,15,FALSE,"diploid","1",3,6
1,2,"64","45x67","linnea","","day1.csv","45","67","heterozygote","wt",0,0.247399962235995,0.260666666666667,0.675,10.5,TRUE,"diploid","1",4,6
1,2,"65","12x12","linnea","","day1.csv","12","12","homozygote","wt",100,0.253245527812029,0.258333333333333,0.678,13,FALSE,"diploid","1",5,6
1,2,"66","136","linnea","","day1.csv","136",NA,"haploid","wt",0,0.256689838420976,0.261666666666667,0.817,11.5,TRUE,"haploid","1",6,6
1,2,"67","103x96","linnea","","day1.csv","103","96","heterozygote","del",100,0.198289276273633,0.255833333333333,0.802,14,FALSE,"diploid","1",7,6
1,2,"68","101x101","linnea","","day1.csv","101","101","homozygote","wt",100,0.246276308873972,0.2565,0.685,13.5,FALSE,"diploid","1",8,6
1,2,"69","72x72","linnea","","day1.csv","72","72","homozygote","del",0,0.254561884738269,0.2555,0.57,9.5,TRUE,"diploid","1",9,6
1,2,"70","35","linnea","","day1.csv","35",NA,"haploid","del",100,0.247109867498874,0.2615,0.742,13.5,FALSE,"haploid","1",10,6
1,2,"71","56","linnea","","day1.csv","56",NA,"haploid","wt",100,0.24290126472426,0.2645,0.705,13,FALSE,"haploid","1",1,7
1,2,"72","25x96","linnea","","day1.csv","25","96","heterozygote","del",100,0.23419337990549,0.2635,0.622,10,FALSE,"diploid","1",2,7
1,2,"73","123","linnea","","day1.csv","123",NA,"haploid","wt",87,0.255331405007997,0.263,0.832,11.5,FALSE,"haploid","1",3,7
1,2,"74","91","linnea","","day1.csv","91",NA,"haploid","wt",0,0.256569854814592,0.267166666666667,0.708,10,TRUE,"haploid","1",4,7
1,2,"75","126x126","linnea","","day1.csv","126","126","homozygote","wt",87,0.25933576610071,0.2615,0.574,9.5,FALSE,"diploid","1",5,7
1,2,"76","104x104","linnea","","day1.csv","104","104","homozygote","wt",100,0.24384620036233,0.258333333333333,0.695,13.5,FALSE,"diploid","1",6,7
