Set,FACS_well,Sample,plate,OD,note,,,,,,,,,,,,,,
2,G1,93x93,1,na,,,,,,,,,,,,,,,
2,G2,93x67,1,na,,,,,,,,,,,,,,,
2,G3,94x94,1,na,,,,,,,,,,,,,,,
2,G4,94x48,1,na,,,,,,,,,,,,,,,
2,G5,95x95,1,na,,,,,,,,,,,,,,,
2,G6,95x134,1,na,,,,,,,,,,,,,,,
2,G7,96x96,1,na,,,,,,,,,,,,,,,
2,G8,96x95,1,na,,,,,,,,,,,,,,,
2,G9,97x97,1,na,,,,,,,,,,,,,,,
2,G10,97x67,1,na,,,,,,,,,,,,,,,
2,G11,98x98,1,na,,,,,,,,,,,,,,,
2,G12,98x92,1,na,,,,,,,,,,,,,,,
2,H1,100x100,1,na,,,,,,,,,,,,,,,
2,H2,102x102,1,na,,,,,,,,,,,,,,,
2,H3,102x67,1,na,,,,,,,,,,,,,,,
2,H4,103x103,1,na,,,,,,,,,,,,,,,
2,H5,103x48,1,na,,,,,,,,,,,,,,,
2,H6,104x104,1,na,,,,,,,,,,,,,,,
2,H7,105x105,1,na,,,,,,,,,,,,,,,
2,H8,105x136,1,na,,,,,,,,,,,,,,,
2,H9,106x106,1,na,,,,,,,,,,,,,,,
2,H10,106x134,1,na,,,,,,,,,,,,,,,
2,H11,107x107,1,na,,,,,,,,,,,,,,,
2,H12,107x95,1,na,,,,,,,,,,,,,,,
3,A5,108x108,1,na,,,,,,,,,,,,,,,
3,A6,108x67,1,na,,,,,,,,,,,,,,,
3,A7,109x109,1,na,,,,,,,,,,,,,,,
3,A8,109x136,1,na,,,,,,,,,,,,,,,
3,A9,110x110,1,na,,,,,,,,,,,,,,,
3,A10,110x67,1,na,,,,,,,,,,,,,,,
3,A11,111x111,1,na,,,,,,,,,,,,,,,
3,A12,111x92,1,na,,,,,,,,,,,,,,,
3,B1,112x112,1,na,,,,,,,,,,,,,,,
3,B2,112x136,1,na,,,,,,,,,,,,,,,
3,B3,113x113,1,na,,,,,,,,,,,,,,,
3,B4,113x67,1,na,,,,,,,,,,,,,,,
3,B5,114x114,1,na,,,,,,,,,,,,,,,
3,B6,114x92,1,na,,,,,,,,,,,,,,,
3,B7,115x115,1,na,,,,,,,,,,,,,,,
3,B8,115x92,1,na,,,,,,,,,,,,,,,
3,B9,116x116,1,na,,,,,,,,,,,,,,,
3,B10,116x48,1,na,,,,,,,,,,,,,,,
3,B11,117x117,1,na,,,,,,,,,,,,,,,
3,B12,117x134,1,na,,,,,,,,,,,,,,,
3,C1,118x118,1,na,,,,,,,,,,,,,,,
3,C2,118x136,1,na,,,,,,,,,,,,,,,
3,C3,119x119,1,na,,,,,,,,,,,,,,,
3,C4,119x67,1,na,,,,,,,,,,,,,,,
3,C5,120x120,1,na,,,,,,,,,,,,,,,
3,C6,120x95,1,na,,,,,,,,,,,,,,,
3,C7,121x121,1,na,,,,,,,,,,,,,,,
3,C8,121x136,1,na,,,,,,,,,,,,,,,
3,C9,122x122,1,na,,,,,,,,,,,,,,,
3,C10,122x67,1,na,,,,,,,,,,,,,,,
3,C11,123x123,1,na,,,,,,,,,,,,,,,
3,C12,123x92,1,na,,,,,,,,,,,,,,,
3,D1,124x124,1,na,,,,,,,,,,,,,,,
3,D2,125x125,1,na,,,,,,,,,,,,,,,
3,D3,125x67,1,na,,,,,,,,,,,,,,,
3,D4,126x126,1,na,,,,,,,,,,,,,,,
3,D5,126x92,1,na,,,,,,,,,,,,,,,
3,D6,127x127,1,na,,,,,,,,,,,,,,,
3,D7,127x136,1,na,,,,,,,,,,,,,,,
3,D8,128x128,1,na,,,,,,,,,,,,,,,
