"sample","mateA","mateB","type","RDH","n_bott","petite","group"
"90x48","90",48,"heterozygote","del",59,FALSE,"MA"
"96x96","96",96,"homozygote","del",0,TRUE,"control"
"78","78",NA,"haploid","wt",100,FALSE,"MA"
"70","70",NA,"haploid","del",0,FALSE,"control"
"53x53","53",53,"homozygote","del",100,FALSE,"MA"
"32","32",NA,"haploid","del",100,FALSE,"MA"
"125x125","125",125,"homozygote","wt",87,TRUE,"MA"
"58","58",NA,"haploid","wt",100,TRUE,"MA"
"49x95","49",95,"heterozygote","del",100,TRUE,"MA"
"130","130",NA,"haploid","del",88,FALSE,"MA"
"107","107",NA,"haploid","del",100,FALSE,"MA"
"17x95","17",95,"heterozygote","del",100,FALSE,"MA"
"45x67","45",67,"heterozygote","wt",0,TRUE,"control"
"3x48","3",48,"heterozygote","del",100,FALSE,"MA"
"69x67","69",67,"heterozygote","wt",0,TRUE,"control"
"88x88","88",88,"homozygote","wt",100,FALSE,"MA"
"59x136","59",136,"heterozygote","wt",100,TRUE,"MA"
"110x110","110",110,"homozygote","wt",87,TRUE,"MA"
"26","26",NA,"haploid","del",100,FALSE,"MA"
"115","115",NA,"haploid","wt",0,FALSE,"control"
"61x95","61",95,"heterozygote","del",100,TRUE,"MA"
"136x136","136",136,"homozygote","wt",0,TRUE,"control"
"77","77",NA,"haploid","del",100,FALSE,"MA"
"76x76","76",76,"homozygote","del",100,FALSE,"MA"
"12","12",NA,"haploid","wt",100,FALSE,"MA"
"81x136","81",136,"heterozygote","wt",100,TRUE,"MA"
"117x117","117",117,"homozygote","del",0,FALSE,"control"
"79x79","79",79,"homozygote","del",100,TRUE,"MA"
"131x134","131",134,"heterozygote","del",67,TRUE,"MA"
"109x136","109",136,"heterozygote","wt",87,TRUE,"MA"
"133x92","133",92,"heterozygote","wt",0,TRUE,"control"
"65x92","65",92,"heterozygote","wt",100,TRUE,"MA"
"43x43","43",43,"homozygote","wt",0,TRUE,"control"
"67","67",NA,"haploid","wt",0,FALSE,"control"
"50x48","50",48,"heterozygote","del",100,TRUE,"MA"
"33","33",NA,"haploid","wt",100,FALSE,"MA"
"29x95","29",95,"heterozygote","del",100,TRUE,"MA"
"91x92","91",92,"heterozygote","wt",0,FALSE,"control"
"4","4",NA,"haploid","del",100,FALSE,"MA"
"105x136","105",136,"heterozygote","wt",100,TRUE,"MA"
"27x27","27",27,"homozygote","wt",100,FALSE,"MA"
"12x136","12",136,"heterozygote","wt",100,TRUE,"MA"
"7","7",NA,"haploid","del",100,FALSE,"MA"
"82x67","82",67,"heterozygote","wt",100,TRUE,"MA"
"60x134","60",134,"heterozygote","del",100,TRUE,"MA"
"2x92","2",92,"heterozygote","wt",100,TRUE,"MA"
"118x136","118",136,"heterozygote","wt",0,FALSE,"control"
"55x136","55",136,"heterozygote","wt",100,TRUE,"MA"
"83x95","83",95,"heterozygote","del",100,FALSE,"MA"
"67x92","67",92,"heterozygote","wt",0,TRUE,"control"
"79x48","79",48,"heterozygote","del",100,FALSE,"MA"
"93x67","93",67,"heterozygote","wt",0,TRUE,"control"
"20x136","20",136,"heterozygote","wt",0,TRUE,"control"
"31x48","31",48,"heterozygote","del",100,TRUE,"MA"
"98x98","98",98,"homozygote","wt",100,TRUE,"MA"
