"Line.ID","dataset","machine","day","plate","initOD","finalOD","maxSlope","OD_maxSlope","time_maxSlope","finalTime","mateA","mateB","genotype","ploidy","RDH","petite","MA","KO","plasmidTransformed"
"45","Sep2019",1,1,1,0.219,1.17,0.267006637777456,0.622,9,21,"45",NA,"haploid","haploid","wt",FALSE,FALSE,TRUE,FALSE
"72x72","Sep2019",1,1,1,0.211166666666667,1.106,0.261186861044704,0.562,9.5,21,"72",72,"homozygote","diploid","del",FALSE,FALSE,TRUE,TRUE
"24","Sep2019",1,1,1,0.214666666666667,1.18133333333333,0.267722637342649,0.557,8.5,21,"24",NA,"haploid","haploid","del",FALSE,FALSE,TRUE,FALSE
"50","Sep2019",1,1,1,0.205666666666667,1.15766666666667,0.274813923101247,0.587,9.5,21,"50",NA,"haploid","haploid","del",FALSE,TRUE,TRUE,FALSE
"53","Sep2019",1,1,1,0.2145,1.15566666666667,0.261340667340182,0.62,9.5,21,"53",NA,"haploid","haploid","del",FALSE,TRUE,TRUE,FALSE
"122x67","Sep2019",1,1,1,0.204666666666667,1.088,0.272915518934047,0.525,9,21,"122",67,"heterozygote","diploid","wt",FALSE,TRUE,TRUE,TRUE
"56","Sep2019",1,1,1,0.2145,1.18233333333333,0.280451770567902,0.587,8.5,21,"56",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,FALSE
"47x47","Sep2019",1,1,1,0.214333333333333,1.16133333333333,0.261531500600487,0.571,8.5,21,"47",47,"homozygote","diploid","del",FALSE,FALSE,TRUE,TRUE
"124x124","Sep2019",1,1,1,0.203166666666667,1.12633333333333,0.232174856634737,0.562,11.5,21,"124",124,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"135","Sep2019",1,1,1,0.216166666666667,1.21733333333333,0.276662641596204,0.594,9,21,"135",NA,"haploid","haploid","del",FALSE,FALSE,TRUE,FALSE
"54x95","Sep2019",1,1,1,0.209166666666667,1.06466666666667,0.201644575409388,0.578,12,21,"54",95,"heterozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"28","Sep2019",1,1,1,0.226666666666667,1.17933333333333,0.267463745368124,0.571,8,21,"28",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,FALSE
"122","Sep2019",1,1,1,0.210833333333333,1.15766666666667,0.203329640141581,0.557,12.5,21,"122",NA,"haploid","haploid","wt",TRUE,TRUE,TRUE,FALSE
"31","Sep2019",1,1,1,0.215166666666667,1.186,0.274066172512022,0.553,8.5,21,"31",NA,"haploid","haploid","del",FALSE,TRUE,TRUE,FALSE
"16x16","Sep2019",1,1,1,0.202333333333333,1.09666666666667,0.175509646394012,0.539,14.5,21,"16",16,"homozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"99x134","Sep2019",1,1,1,0.207166666666667,1.08966666666667,0.268879515397114,0.526,9,21,"99",134,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"10","Sep2019",1,1,1,0.223833333333333,1.2,0.277072829346636,0.567,8,21,"10",NA,"haploid","haploid","del",FALSE,TRUE,TRUE,FALSE
"45x45","Sep2019",1,1,1,0.208833333333333,1.131,0.2291096038054,0.547,10.5,21,"45",45,"homozygote","diploid","wt",TRUE,FALSE,TRUE,TRUE
"7x48","Sep2019",1,1,1,0.224833333333333,1.186,0.258248431145303,0.585,9,21,"7",48,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"11x11","Sep2019",1,1,1,0.199166666666667,1.12916666666667,0.229662769674066,0.529,12,21,"11",11,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
