"Line.ID","dataset","machine","day","Plate","initOD","finalOD","maxSlope","OD_maxSlope","time_maxSlope","finalTime","mateA","mateB","genotype","ploidy","RDH","petite","MA","KO","plasmidTransformed"
"25x96","Jan2020",2,1,1,0.255666666666667,1.195,0.246367099859812,0.712,11,22.25,"25",96,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"25x96","Jan2020",2,1,1,0.2635,1.2225,0.23419337990549,0.622,10,22.25,"25",96,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"30x67","Jan2020",2,1,1,0.258,1.13166666666667,0.245218853381357,0.832,15,22.25,"30",67,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"53x53","Jan2020",2,1,1,0.254,1.13183333333333,0.245018020864074,0.76,13,22.25,"53",53,"homozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"53x53","Jan2020",2,1,2,0.256333333333333,1.17233333333333,0.243432717128567,0.665,12,22.25,"53",53,"homozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"121","Jan2020",2,1,1,0.255333333333333,1.178,0.222686634201996,0.776,13,22.25,"121",NA,"haploid","haploid","wt",TRUE,TRUE,TRUE,TRUE
"93x93","Jan2020",2,1,1,0.259166666666667,1.09483333333333,0.23631882154207,0.615,13.5,22.25,"93",93,"homozygote","diploid","wt",TRUE,FALSE,TRUE,TRUE
"91x20","Jan2020",2,1,1,0.257666666666667,1.14933333333333,0.232126313487457,0.821,15.5,22.25,"91",20,"heterozygote","diploid","wt",TRUE,FALSE,TRUE,TRUE
"111x111","Jan2020",2,1,1,0.256,1.14866666666667,0.247204847145244,0.955,15,22.25,"111",111,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"136x20","Jan2020",2,1,1,0.252,1.13683333333333,0.24390922755968,0.826,16.5,22.25,"136",20,"heterozygote","diploid","wt",TRUE,FALSE,TRUE,TRUE
"82x82","Jan2020",2,1,1,0.259833333333333,1.20633333333333,0.241131296008223,0.652,13,22.25,"82",82,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"110x93","Jan2020",2,1,1,0.2595,1.16566666666667,0.239679382771363,0.845,14.5,22.25,"110",93,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"65","Jan2020",2,1,1,0.262,1.13516666666667,0.272461725800421,0.737,13,22.25,"65",NA,"haploid","haploid","wt",TRUE,TRUE,TRUE,TRUE
